Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	108.4428
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	117.2755
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	104.0246
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	152.214
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	112.9827
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	101.9167
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	113.1735
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	103.0543
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	370.586
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	556.2999
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	384.9087
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1039.1310
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2752.9049
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1036.5858
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1038.9684
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1039.1303
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2667.9990
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1036.3778
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1038.9336
Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	10.9727
Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11.6454
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	11.5273
Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	11.5273
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11.6454
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10.9024
Bandhan Banking and PSU Fund - Direct Annual IDCW	12.4875
Bandhan Banking and PSU Fund - Direct Daily IDCW	10.4768
Bandhan Banking and PSU Fund - Direct Fortnightly IDCW	10.4744
Bandhan Banking and PSU Fund - Direct Growth	25.6651
Bandhan Banking and PSU Fund - Direct IDCW	13.5006
Bandhan Banking and PSU Fund - Direct Monthly IDCW	10.4697
Bandhan Banking and PSU Fund - Direct Quarterly IDCW	11.0054
Bandhan Banking and PSU Fund - Regular Annual IDCW	11.4806
Bandhan Banking and PSU Fund - Regular Daily IDCW	10.8788
Bandhan Banking and PSU Fund - Regular Fortnightly IDCW	10.6293
Bandhan Banking and PSU Fund - Regular Growth	24.9215
Bandhan Banking and PSU Fund - Regular IDCW	13.4575
Bandhan Banking and PSU Fund - Regular Monthly IDCW	10.7129
Bandhan Banking and PSU Fund - Regular Quarterly IDCW	10.8994
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option	10.4550
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option	13.0764
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option	10.6110
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option	12.7806
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option	10.2788
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option	10.3867
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	12.3027
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	10.8388
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	12.1892
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.7530
DSP Banking & PSU Debt Fund - Direct Plan - Growth	25.1714
DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.6152
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1805
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.3987
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly 	10.4541
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.1842
DSP Banking & PSU Debt Fund - Regular Plan - Growth	24.2955
DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.6
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1771
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.3842
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly 	10.4424
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.1841
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	25.8092
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	18.7603
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.4993
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.9243
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.5453
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	24.8909
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	17.8999
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.028
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1665
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1398
Franklin India Banking & PSU Debt Fund - Direct - Growth	23.7802
Franklin India Banking & PSU Debt Fund - Growth	22.7461
Franklin India Banking and PSU Debt Fund - Direct - IDCW 	11.6034
Franklin India Banking and PSU Debt Fund - IDCW 	10.9724
HDFC Banking and PSU Debt Fund - Growth Option	23.2547
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.2341
HDFC Banking and PSU Debt Fund - IDCW Option	10.2143
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0325
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1907
HSBC Banking and PSU Debt Fund - Direct Growth	25.8926
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.345
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3551
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.116
HSBC Banking and PSU Debt Fund - Regular Growth	24.5661
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6018
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3278
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.5437
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.9192
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	33.1141
